date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" January 6, 2019",Customer Success Manager," Reston, VA ",Family,"building and sustaining a healthy workplace culture, it’s necessary to ask the question, “are we a team here, or are we a family?” A team has a common goal. The needs and positions of the team may vary, but the end result is to win. This means that teammates build up their fellow comrades, celebrate their successes, and encourage them when they’ve had a down moment. They come together to bond and unite for the greater outcome. At times, this may mean picking up the extra slack or offering to assist in an area outside of your “job description.” We do this willingly, because we know that when we put in the time, the team shares in the fruits of the labor, and that the commitment to that common goal benefits everyone.

Often times you hear businesses say, “We’re a family here.” Though that may be a good theory, difficulties remain, as you most likely won’t fire a family member because they have been late 365 days in a row. While a family environment encourages personal relationships, a sense of community and a feeling of security, it may also discourage competition, lower expectations, or struggle with visible accountability.",5.0,5,5,5,5,5
" January 2, 2019",Lead Systems Engineer," Arlington, VA ",Standard Government Contractor,"All my work was on site or at remote work locations.

My team was good but some of the clients were challenging.

Overall I enjoyed both of my tenures at Mantech and would work there again happily.",4.0,3,4,2,3,3
" December 31, 2018",Quality Assurance Analyst," Chantilly, VA ",Good first opportunity,"Many managers wonder where to start when they’re faced with putting together a performance review. Our suggestion: review the job description. Whether it’s for a waiter, a food runner, a customer service rep, or something else entirely, ask yourself these questions as the basis for the rest of your review:

Did the employee satisfy all the responsibilities and requirements listed in the job description?
Were there certain aspects left lacking?",3.0,3,3,3,3,3
" December 31, 2018",Field Engineer," Fort Hood, TX 76544 ",Work environment,I have only been working here for a short period of time. I will continue to do my part as a team member unless something else or other opportunities come my way.,4.0,4,4,4,5,4
" December 29, 2018",Shop Foreman," Al Asad, Iraq ",Great Company,"Really like the company, but I have been contracting overseas for over ten year and it was time for me to go home. ..........................................",4.0,3,3,5,4,3
" December 28, 2018",Data Analyst," Owings Mills, MD ",Gilded Gold,"When I came onto ManTech, I found myself working with individuals who were the best in their respective roles and responsibilities. I was provided challenging work and opportunities to develop skills I already acquired in previous roles. I was able to provide impact to the project I found myself on, and develop good working relationships with the client and my coworkers over the course of a few months.

However, it occurred to me that ManTech acquired these individuals through acquisition, and had moved previous management out with their own. New management began to remove those individuals in favor of saving costs and the project suffered. Those that remained flagged severe issues within the project, and reminded management of how critical certain individuals were. None of this was taken into consideration.

Currently, I find myself in several meetings over the course of a week, unable to finish work I was brought on for. Management continues to shirk responsibility for the current status, and waves off issues brought up by teams. ManTech acquired excellent talent, but seems unable to retain it through their dismissal of legitimate concerns and pain points. ManTech might be a good company, but my experience in my current role on this project is anything but.",2.0,1,3,2,1,1
" December 27, 2018",Security Specialist II (Supervisor)," Colorado Springs, CO ","Great company, good management","This was a great company to work for, and they paid higher wages than their competitors. I work there for over 7 years. The only downside was in my particular situation, there was little room for advancement.",5.0,5,5,5,5,5
" December 22, 2018",Kuwait -Heavy Vehicle Mechanic / Team Lead,Heavy Vehicle Mechanic / Team Lead (Former Employee) ,Good company / well ran.,"Good company, well ran, takes care of their people, pays well, good management, good housing. That should be sufficient to get an idea of working for Mantech.",5.0,5,5,5,5,5
" December 18, 2018",JBC-P Senior Lead FSR,P Senior Lead FSR (Current Employee) ,I enjoy the company,"Honestly I have no complaints, The reason I put 2 stars for Job security is because.... it is contracting and that in its self means very little security. I enjoy working with my boss and the company.",4.0,5,4,2,4,5
" December 17, 2018",Security Specialist," Fairfax, VA ",Terrible place to work,This company has managers that bullied me and a co-worker for reporting the bullying to Human Resources. Then they bullied me even more until I resigned. The upper level management promotes bullying and retailation of employees who report it. Stay away from this company because I am still living with the trauma of what happened to me there and I don't want anyone else to go thru this.,1.0,1,1,1,1,1
" December 7, 2018",Logistics Analyst II," Fort Sill, OK ",Logistics Analyst II,Working at ManTech we would have assignments that required us to do things independently as well as with a team and I was able to excel at both. I love the opportunity to work with others.,4.0,4,4,3,4,3
" December 6, 2018",HR Benefits Call Center Associate," Herndon, VA 20171 ",Enjoyable work atmosphere,My department were great people to work with. We were solid as a team and had fun while performing our tasks. Communications within the department were flawless and support was impeccable.,5.0,5,5,5,5,5
